name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
motion.keyframe.slide.out.bottom.short,motion; keyframe; slide; out; bottom; short,--ds-keyframe-slide-out-bottom-short,SlideOutBottom8px,Use for short slide-out transitions where an element exits downward by 8px from its starting position.,SlideOutBottom8px,,,token-metadata.codegen.js
motion.keyframe.slide.out.left.half,motion; keyframe; slide; out; left; half,--ds-keyframe-slide-out-left-half,SlideOut15PercentLeft,Use for slide-out transitions where an element exits to the left of its starting position by 15%.,SlideOut15PercentLeft,,,token-metadata.codegen.js
motion.keyframe.slide.out.left.short,motion; keyframe; slide; out; left; short,--ds-keyframe-slide-out-left-short,SlideOutLeft8px,Use for short slide-out transitions where an element exits to the left by 8px from its starting position.,SlideOutLeft8px,,,token-metadata.codegen.js
motion.keyframe.slide.out.right.short,motion; keyframe; slide; out; right; short,--ds-keyframe-slide-out-right-short,SlideOutRight8px,Use for short slide-out transitions where an element exits to the right by 8px from its starting position.,SlideOutRight8px,,,token-metadata.codegen.js
motion.keyframe.slide.out.top.short,motion; keyframe; slide; out; top; short,--ds-keyframe-slide-out-top-short,SlideOutTop8px,Use for short slide-out transitions where an element exits upward by 8px from its starting position.,SlideOutTop8px,,,token-metadata.codegen.js
motion.listitem.hovered,motion; listitem; hovered,--ds-listitem-hovered,"background-color 50ms cubic-bezier(0.4, 1, 0.6, 1), border-color 50ms cubic-bezier(0.4, 1, 0.6, 1), color 50ms cubic-bezier(0.4, 1, 0.6, 1)",Use for list item hover state transitions.,"background-color 50ms cubic-bezier(0.4, 1, 0.6, 1), border-color 50ms cubic-bezier(0.4, 1, 0.6, 1), color 50ms cubic-bezier(0.4, 1, 0.6, 1)",,,token-metadata.codegen.js
motion.listitem.pressed,motion; listitem; pressed,--ds-listitem-pressed,"background-color 100ms cubic-bezier(0.4, 1, 0.6, 1), border-color 100ms cubic-bezier(0.4, 1, 0.6, 1), color 100ms cubic-bezier(0.4, 1, 0.6, 1)",Use for list item pressed state transitions.,"background-color 100ms cubic-bezier(0.4, 1, 0.6, 1), border-color 100ms cubic-bezier(0.4, 1, 0.6, 1), color 100ms cubic-bezier(0.4, 1, 0.6, 1)",,,token-metadata.codegen.js
motion.listitem.selected,motion; listitem; selected,--ds-listitem-selected,"background-color 100ms cubic-bezier(0.4, 1, 0.6, 1), border-color 100ms cubic-bezier(0.4, 1, 0.6, 1), color 100ms cubic-bezier(0.4, 1, 0.6, 1)",Use for list item selected state transitions.,"background-color 100ms cubic-bezier(0.4, 1, 0.6, 1), border-color 100ms cubic-bezier(0.4, 1, 0.6, 1), color 100ms cubic-bezier(0.4, 1, 0.6, 1)",,,token-metadata.codegen.js
motion.modal.enter,motion; modal; enter,--ds-modal-enter,"250ms cubic-bezier(0.4, 0, 0, 1) ScaleIn95to100",Use for modal enter transitions.,"250ms cubic-bezier(0.4, 0, 0, 1) ScaleIn95to100",,,token-metadata.codegen.js
motion.modal.exit,motion; modal; exit,--ds-modal-exit,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) ScaleOut100to95",Use for modal exit transitions.,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) ScaleOut100to95",,,token-metadata.codegen.js
motion.popup.enter.bottom,motion; popup; enter; bottom,--ds-popup-enter-bottom,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInBottom8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",Use for popup enter from the bottom.,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInBottom8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.popup.enter.left,motion; popup; enter; left,--ds-popup-enter-left,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInLeft8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",Use for popup enter from the left.,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInLeft8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.popup.enter.right,motion; popup; enter; right,--ds-popup-enter-right,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInRight8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",Use for popup enter from the right.,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInRight8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.popup.enter.top,motion; popup; enter; top,--ds-popup-enter-top,"150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInTop8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100","Use for popup enter from the top: popup, tooltip, dropdown, inline message, inline dialog.","150ms cubic-bezier(0.4, 1, 0.6, 1) SlideInTop8px, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.popup.exit.bottom,motion; popup; exit; bottom,--ds-popup-exit-bottom,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutBottom8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for popup exit toward the bottom.,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutBottom8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.popup.exit.left,motion; popup; exit; left,--ds-popup-exit-left,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutLeft8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for popup exit toward the left.,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutLeft8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.popup.exit.right,motion; popup; exit; right,--ds-popup-exit-right,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutRight8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for popup exit toward the right.,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutRight8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.popup.exit.top,motion; popup; exit; top,--ds-popup-exit-top,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutTop8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for popup exit toward the top.,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOutTop8px, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.spotlight.enter,motion; spotlight; enter,--ds-spotlight-enter,"250ms cubic-bezier(0.4, 0, 0, 1) ScaleIn95to100, 250ms cubic-bezier(0.4, 0, 0, 1) FadeIn0to100",Use for spotlight enter transitions.,"250ms cubic-bezier(0.4, 0, 0, 1) ScaleIn95to100, 250ms cubic-bezier(0.4, 0, 0, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.spotlight.exit,motion; spotlight; exit,--ds-spotlight-exit,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) ScaleOut100to95, 200ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for spotlight exit transitions.,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) ScaleOut100to95, 200ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
color.background.accent.lime.subtlest,color; background; accent; lime; subtlest; [default],--ds-background-accent-lime-subtlest,#EFFFD6,Use for for backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#EFFFD6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtlest.hovered,color; background; accent; lime; subtlest; hovered,--ds-background-accent-lime-subtlest-hovered,#D3F1A7,Hovered state of color.background.accent.lime.subtlest.,#D3F1A7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtlest.pressed,color; background; accent; lime; subtlest; pressed,--ds-background-accent-lime-subtlest-pressed,#BDE97C,Pressed state of color.background.accent.lime.subtlest.,#BDE97C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtler,color; background; accent; lime; subtler; [default],--ds-background-accent-lime-subtler,#D3F1A7,"Use for for backgrounds when there is no meaning tied to the color, such as colored tags.",#D3F1A7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtler.hovered,color; background; accent; lime; subtler; hovered,--ds-background-accent-lime-subtler-hovered,#BDE97C,Hovered state of color.background.accent.lime.subtler.,#BDE97C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtler.pressed,color; background; accent; lime; subtler; pressed,--ds-background-accent-lime-subtler-pressed,#B3DF72,Pressed state of color.background.accent.lime.subtler.,#B3DF72,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtle,color; background; accent; lime; subtle; [default],--ds-background-accent-lime-subtle,#94C748,"Use for vibrant for backgrounds when there is no meaning tied to the color, such as colored tags.",#94C748,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtle.hovered,color; background; accent; lime; subtle; hovered,--ds-background-accent-lime-subtle-hovered,#B3DF72,Hovered state of color.background.accent.lime.subtle.,#B3DF72,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.subtle.pressed,color; background; accent; lime; subtle; pressed,--ds-background-accent-lime-subtle-pressed,#BDE97C,Pressed state of color.background.accent.lime.subtle.,#BDE97C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.bolder,color; background; accent; lime; bolder; [default],--ds-background-accent-lime-bolder,#5B7F24,"Use for for backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#5B7F24,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.bolder.hovered,color; background; accent; lime; bolder; hovered,--ds-background-accent-lime-bolder-hovered,#4C6B1F,Hovered state of color.background.accent.lime.bolder.,#4C6B1F,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.lime.bolder.pressed,color; background; accent; lime; bolder; pressed,--ds-background-accent-lime-bolder-pressed,#3F5224,Pressed state of color.background.accent.lime.bolder.,#3F5224,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtlest,color; background; accent; red; subtlest; [default],--ds-background-accent-red-subtlest,#FFECEB,Use for red backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#FFECEB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtlest.hovered,color; background; accent; red; subtlest; hovered,--ds-background-accent-red-subtlest-hovered,#FFD5D2,Hovered state of color.background.accent.red.subtlest.,#FFD5D2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtlest.pressed,color; background; accent; red; subtlest; pressed,--ds-background-accent-red-subtlest-pressed,#FFB8B2,Pressed state of color.background.accent.red.subtlest.,#FFB8B2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtler,color; background; accent; red; subtler; [default],--ds-background-accent-red-subtler,#FFD5D2,"Use for red backgrounds when there is no meaning tied to the color, such as colored tags.",#FFD5D2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtler.hovered,color; background; accent; red; subtler; hovered,--ds-background-accent-red-subtler-hovered,#FFB8B2,Hovered state of color.background.accent.red.subtler.,#FFB8B2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtler.pressed,color; background; accent; red; subtler; pressed,--ds-background-accent-red-subtler-pressed,#FD9891,Pressed state of color.background.accent.red.subtler.,#FD9891,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtle,color; background; accent; red; subtle; [default],--ds-background-accent-red-subtle,#F87168,"Use for vibrant red backgrounds when there is no meaning tied to the color, such as colored tags.",#F87168,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtle.hovered,color; background; accent; red; subtle; hovered,--ds-background-accent-red-subtle-hovered,#FD9891,Hovered state of color.background.accent.red.subtle.,#FD9891,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.subtle.pressed,color; background; accent; red; subtle; pressed,--ds-background-accent-red-subtle-pressed,#FFB8B2,Pressed state of color.background.accent.red.subtle.,#FFB8B2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.bolder,color; background; accent; red; bolder; [default],--ds-background-accent-red-bolder,#C9372C,"Use for red backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#C9372C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.bolder.hovered,color; background; accent; red; bolder; hovered,--ds-background-accent-red-bolder-hovered,#AE2E24,Hovered state of color.background.accent.red.bolder.,#AE2E24,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.red.bolder.pressed,color; background; accent; red; bolder; pressed,--ds-background-accent-red-bolder-pressed,#872821,Pressed state of color.background.accent.red.bolder.,#872821,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtlest,color; background; accent; orange; subtlest; [default],--ds-background-accent-orange-subtlest,#FFF5DB,Use for orange backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#FFF5DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtlest.hovered,color; background; accent; orange; subtlest; hovered,--ds-background-accent-orange-subtlest-hovered,#FCE4A6,Hovered state of color.background.accent.orange.subtlest.,#FCE4A6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtlest.pressed,color; background; accent; orange; subtlest; pressed,--ds-background-accent-orange-subtlest-pressed,#FBD779,Pressed state of color.background.accent.orange.subtlest.,#FBD779,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtler,color; background; accent; orange; subtler; [default],--ds-background-accent-orange-subtler,#FCE4A6,"Use for orange backgrounds when there is no meaning tied to the color, such as colored tags.",#FCE4A6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtler.hovered,color; background; accent; orange; subtler; hovered,--ds-background-accent-orange-subtler-hovered,#FBD779,Hovered state of color.background.accent.orange.subtler.,#FBD779,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtler.pressed,color; background; accent; orange; subtler; pressed,--ds-background-accent-orange-subtler-pressed,#FBC828,Pressed state of color.background.accent.orange.subtler.,#FBC828,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtle,color; background; accent; orange; subtle; [default],--ds-background-accent-orange-subtle,#FCA700,"Use for vibrant orange backgrounds when there is no meaning tied to the color, such as colored tags.",#FCA700,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtle.hovered,color; background; accent; orange; subtle; hovered,--ds-background-accent-orange-subtle-hovered,#FBC828,Hovered state of color.background.accent.orange.subtle.,#FBC828,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.subtle.pressed,color; background; accent; orange; subtle; pressed,--ds-background-accent-orange-subtle-pressed,#FBD779,Pressed state of color.background.accent.orange.subtle.,#FBD779,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
